TEST_PARAM.comment:,lr44 2x

SourceMeter Model:,2450
SourceMeter S/N:,04036355
SourceMeter Firmware:,1.7.5b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.0592660904
TEST_PARAM.vcutoff:,1.65

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,02/26/21 14:04:37
TEST_PARAM.discharge_stop_time:,02/26/21 14:35:54

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,218,434.20674538,2.4202346802,2.1202507019,5.9996795654
BATT_MODEL_RAW:,219,436.20746978,2.4191741943,2.1190681458,6.0021209717
BATT_MODEL_RAW:,220,438.20816794,2.4180984497,2.1180267334,6.0014343262
BATT_MODEL_RAW:,221,440.20924504,2.4171028137,2.116973877,6.0025787354
BATT_MODEL_RAW:,222,442.2101799,2.4161338806,2.1159706116,6.0032653809
BATT_MODEL_RAW:,223,444.21127944,2.415145874,2.1149291992,6.0043334961
BATT_MODEL_RAW:,224,446.21240996,2.414188385,2.1139221191,6.0053253174
BATT_MODEL_RAW:,225,448.21335728,2.413192749,2.1128730774,6.0063934326
BATT_MODEL_RAW:,226,450.21443038,2.4122276306,2.1118736267,6.0070800781
BATT_MODEL_RAW:,227,452.21546146,2.4112472534,2.1108703613,6.0075378418
BATT_MODEL_RAW:,228,454.21633782,2.4102859497,2.1098594666,6.0085296631
BATT_MODEL_RAW:,229,456.2172838,2.4092903137,2.1087875366,6.010055542
BATT_MODEL_RAW:,230,458.21839632,2.4083518982,2.1077270508,6.0124969482
BATT_MODEL_RAW:,231,460.21954698,2.4073295593,2.1066970825,6.0126495361
BATT_MODEL_RAW:,232,462.21969678,2.4063644409,2.10572052,6.012878418
BATT_MODEL_RAW:,233,464.22069852,2.4054069519,2.1047172546,6.0137939453
BATT_MODEL_RAW:,234,466.2211645,2.4044456482,2.1037445068,6.0140228271
BATT_MODEL_RAW:,235,468.22213572,2.403503418,2.1027755737,6.0145568848
BATT_MODEL_RAW:,236,470.22311088,2.4026412964,2.1018600464,6.015625
BATT_MODEL_RAW:,237,472.22364632,2.4017105103,2.100933075,6.0155487061
BATT_MODEL_RAW:,238,474.22385186,2.4007911682,2.0999717712,6.0163879395
BATT_MODEL_RAW:,239,476.22496654,2.3998756409,2.0990028381,6.0174560547
BATT_MODEL_RAW:,240,478.22544852,2.3989677429,2.0980644226,6.0180664063
BATT_MODEL_RAW:,241,480.22631046,2.3980484009,2.0971107483,6.0187530518
BATT_MODEL_RAW:,242,482.22700168,2.3971176147,2.0961341858,6.0196685791
